Pathway,Metabolite
Biosynthesis of alkaloids derived from shikimate pathway,Isoandrocymbine
Biosynthesis of alkaloids derived from shikimate pathway,O-Methylandrocymbine
Biosynthesis of alkaloids derived from shikimate pathway,N-Formyldemecolcine
Biosynthesis of alkaloids derived from shikimate pathway,Deacetylcolchicine
Biosynthesis of alkaloids derived from shikimate pathway,Floramultine
Biosynthesis of alkaloids derived from shikimate pathway,Kreysigine
Biosynthesis of alkaloids derived from shikimate pathway,4-Hydroxy-2-quinolone
Biosynthesis of alkaloids derived from shikimate pathway,(-)-Norephedrine
Biosynthesis of alkaloids derived from shikimate pathway,Platydesmine
Biosynthesis of alkaloids derived from shikimate pathway,Pumiloside
Biosynthesis of alkaloids derived from shikimate pathway,Strictosamide
Biosynthesis of alkaloids derived from shikimate pathway,Deoxypumiloside
Biosynthesis of alkaloids derived from shikimate pathway,Cinchoninone
Biosynthesis of alkaloids derived from shikimate pathway,Cinchonamine
Biosynthesis of alkaloids derived from shikimate pathway,Quinidinone
Biosynthesis of alkaloids derived from shikimate pathway,Corynantheal
Biosynthesis of alkaloids derived from shikimate pathway,Pyruvophenone
Biosynthesis of alkaloids derived from shikimate pathway,8-Methyl-6-nonenoic acid
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Pyruvate
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Acetyl-CoA
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",L-Glutamate
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",2-Oxoglutarate
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Oxaloacetate
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Succinate
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",L-Lysine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",L-Aspartate
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",L-Arginine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",L-Ornithine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",L-Phenylalanine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",D-Fructose 6-phosphate
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Succinyl-CoA
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",D-Glyceraldehyde 3-phosphate
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Fumarate
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Putrescine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",(S)-Malate
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Citrate
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",3-Phospho-D-glycerate
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Nicotinate
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",alpha-D-Glucose
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Isocitrate
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",L-Isoleucine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",L-Pipecolate
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",cis-Aconitate
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid","(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate"
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Benzoyl-CoA
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",alpha-D-Glucose 6-phosphate
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Tropine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Nicotine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Tropinone
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Cocaine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Tropate
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Cadaverine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Scopolamine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",L-Hyoscyamine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid","(E,E)-Piperoyl-CoA"
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Quinolinate
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Piperine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",L-2-Aminoadipate 6-semialdehyde
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Phenyllactate
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Senecionine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Retronecine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",1-Methylpyrrolinium
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Hygrine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Anabasine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Piperideine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Pelletierine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",L-(+)-Anaferine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",N-Methylpelletierine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Slaframine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",sym-Homospermidine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Cuscohygrine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Lobeline
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Anatabine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Lobelanine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",(-)-Sedamine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Swainsonine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Cytisine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Lupanine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Lupinine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",(-)-Sparteine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Littorine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Pseudopelletierine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",(-)-Hygrine
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Ecgonine methyl ester
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",1-Indolizidinone
Biosynthesis of alkaloids derived from histidine and purine,AMP
Biosynthesis of alkaloids derived from histidine and purine,Pyruvate
Biosynthesis of alkaloids derived from histidine and purine,Acetyl-CoA
Biosynthesis of alkaloids derived from histidine and purine,2-Oxoglutarate
Biosynthesis of alkaloids derived from histidine and purine,Oxaloacetate
Biosynthesis of alkaloids derived from histidine and purine,Succinate
Biosynthesis of alkaloids derived from histidine and purine,D-Fructose 6-phosphate
Biosynthesis of alkaloids derived from histidine and purine,Succinyl-CoA
Biosynthesis of alkaloids derived from histidine and purine,D-Glyceraldehyde 3-phosphate
Biosynthesis of alkaloids derived from histidine and purine,5-Phospho-alpha-D-ribose 1-diphosphate
Biosynthesis of alkaloids derived from histidine and purine,Fumarate
Biosynthesis of alkaloids derived from histidine and purine,L-Leucine
Biosynthesis of alkaloids derived from histidine and purine,IMP
Biosynthesis of alkaloids derived from histidine and purine,L-Histidine
Biosynthesis of alkaloids derived from histidine and purine,GMP
Biosynthesis of alkaloids derived from histidine and purine,(S)-Malate
Biosynthesis of alkaloids derived from histidine and purine,Citrate
Biosynthesis of alkaloids derived from histidine and purine,3-Phospho-D-glycerate
Biosynthesis of alkaloids derived from histidine and purine,alpha-D-Glucose
Biosynthesis of alkaloids derived from histidine and purine,Isocitrate
Biosynthesis of alkaloids derived from histidine and purine,Xanthine
Biosynthesis of alkaloids derived from histidine and purine,Histamine
Biosynthesis of alkaloids derived from histidine and purine,cis-Aconitate
Biosynthesis of alkaloids derived from histidine and purine,Xanthosine 5'-phosphate
Biosynthesis of alkaloids derived from histidine and purine,alpha-D-Glucose 6-phosphate
Biosynthesis of alkaloids derived from histidine and purine,Xanthosine
Biosynthesis of alkaloids derived from histidine and purine,D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate
Biosynthesis of alkaloids derived from histidine and purine,1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide
Biosynthesis of alkaloids derived from histidine and purine,1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide
Biosynthesis of alkaloids derived from histidine and purine,Theophylline
Biosynthesis of alkaloids derived from histidine and purine,Pilocarpine
Biosynthesis of alkaloids derived from histidine and purine,Theobromine
Biosynthesis of alkaloids derived from histidine and purine,Caffeine
Biosynthesis of alkaloids derived from histidine and purine,3-Methylbutanoic acid
Biosynthesis of alkaloids derived from histidine and purine,Dolichotheline
Biosynthesis of alkaloids derived from terpenoid and polyketide,Pyruvate
Biosynthesis of alkaloids derived from terpenoid and polyketide,Acetyl-CoA
Biosynthesis of alkaloids derived from terpenoid and polyketide,2-Oxoglutarate
Biosynthesis of alkaloids derived from terpenoid and polyketide,Oxaloacetate
Biosynthesis of alkaloids derived from terpenoid and polyketide,Succinate
Biosynthesis of alkaloids derived from terpenoid and polyketide,Malonyl-CoA
Biosynthesis of alkaloids derived from terpenoid and polyketide,D-Fructose 6-phosphate
Biosynthesis of alkaloids derived from terpenoid and polyketide,Succinyl-CoA
Biosynthesis of alkaloids derived from terpenoid and polyketide,D-Glyceraldehyde 3-phosphate
Biosynthesis of alkaloids derived from terpenoid and polyketide,Fumarate
Biosynthesis of alkaloids derived from terpenoid and polyketide,(S)-Malate
Biosynthesis of alkaloids derived from terpenoid and polyketide,Citrate
Biosynthesis of alkaloids derived from terpenoid and polyketide,Cholesterol
Biosynthesis of alkaloids derived from terpenoid and polyketide,3-Phospho-D-glycerate
Biosynthesis of alkaloids derived from terpenoid and polyketide,alpha-D-Glucose
Biosynthesis of alkaloids derived from terpenoid and polyketide,Isocitrate
Biosynthesis of alkaloids derived from terpenoid and polyketide,Geranyl diphosphate
Biosynthesis of alkaloids derived from terpenoid and polyketide,Geranylgeranyl diphosphate
Biosynthesis of alkaloids derived from terpenoid and polyketide,(S)-3-Hydroxy-3-methylglutaryl-CoA
Biosynthesis of alkaloids derived from terpenoid and polyketide,cis-Aconitate
Biosynthesis of alkaloids derived from terpenoid and polyketide,"trans,trans-Farnesyl diphosphate"
Biosynthesis of alkaloids derived from terpenoid and polyketide,alpha-D-Glucose 6-phosphate
Biosynthesis of alkaloids derived from terpenoid and polyketide,Squalene
Biosynthesis of alkaloids derived from terpenoid and polyketide,Geraniol
Biosynthesis of alkaloids derived from terpenoid and polyketide,Secologanin
Biosynthesis of alkaloids derived from terpenoid and polyketide,Aconitine
Biosynthesis of alkaloids derived from terpenoid and polyketide,Octanoic acid
Biosynthesis of alkaloids derived from terpenoid and polyketide,Coniine
Biosynthesis of alkaloids derived from terpenoid and polyketide,Gentianine
Biosynthesis of alkaloids derived from terpenoid and polyketide,Solanidine
Biosynthesis of alkaloids derived from terpenoid and polyketide,Atisine
Biosynthesis of alkaloids derived from terpenoid and polyketide,Gentiopicrin
Biosynthesis of alkaloids derived from terpenoid and polyketide,Actinidine
Biosynthesis of alkaloids derived from terpenoid and polyketide,Dendrobine
Biosynthesis of alkaloids derived from terpenoid and polyketide,Deoxynupharidine
Biosynthesis of alkaloids derived from terpenoid and polyketide,beta-Skytanthine
Biosynthesis of alkaloids derived from terpenoid and polyketide,Thiobinupharidine
Biosynthesis of alkaloids derived from terpenoid and polyketide,gamma-Coniceine
Biosynthesis of alkaloids derived from terpenoid and polyketide,Pinidine
Biosynthesis of alkaloids derived from terpenoid and polyketide,Jervine
Biosynthesis of alkaloids derived from terpenoid and polyketide,Solanine
Biosynthesis of alkaloids derived from terpenoid and polyketide,Solasodine
Biosynthesis of alkaloids derived from terpenoid and polyketide,Solasonine
Biosynthesis of alkaloids derived from terpenoid and polyketide,Tomatidine
Biosynthesis of alkaloids derived from terpenoid and polyketide,Tomatine
Biosynthesis of alkaloids derived from terpenoid and polyketide,Veratramine
Biosynthesis of alkaloids derived from terpenoid and polyketide,1-Deoxy-D-xylulose 5-phosphate
Biosynthesis of alkaloids derived from terpenoid and polyketide,"Cholest-5-ene-3beta,26-diol"
Biosynthesis of plant hormones,S-Adenosyl-L-methionine
Biosynthesis of plant hormones,AMP
Biosynthesis of plant hormones,Pyruvate
Biosynthesis of plant hormones,Acetyl-CoA
Biosynthesis of plant hormones,2-Oxoglutarate
Biosynthesis of plant hormones,Oxaloacetate
Biosynthesis of plant hormones,Succinate
Biosynthesis of plant hormones,L-Aspartate
Biosynthesis of plant hormones,L-Methionine
Biosynthesis of plant hormones,Phosphoenolpyruvate
Biosynthesis of plant hormones,L-Tryptophan
Biosynthesis of plant hormones,L-Phenylalanine
Biosynthesis of plant hormones,Malonyl-CoA
Biosynthesis of plant hormones,D-Fructose 6-phosphate
Biosynthesis of plant hormones,Succinyl-CoA
Biosynthesis of plant hormones,Anthranilate
Biosynthesis of plant hormones,D-Glyceraldehyde 3-phosphate
Biosynthesis of plant hormones,5-Phospho-alpha-D-ribose 1-diphosphate
Biosynthesis of plant hormones,Fumarate
Biosynthesis of plant hormones,Isopentenyl diphosphate
Biosynthesis of plant hormones,IMP
Biosynthesis of plant hormones,(S)-Malate
Biosynthesis of plant hormones,Palmitoyl-CoA
Biosynthesis of plant hormones,Citrate
Biosynthesis of plant hormones,3-Phospho-D-glycerate
Biosynthesis of plant hormones,Dimethylallyl diphosphate
Biosynthesis of plant hormones,Chorismate
Biosynthesis of plant hormones,alpha-D-Glucose
Biosynthesis of plant hormones,D-Erythrose 4-phosphate
Biosynthesis of plant hormones,Isocitrate
Biosynthesis of plant hormones,Geranyl diphosphate
Biosynthesis of plant hormones,Geranylgeranyl diphosphate
Biosynthesis of plant hormones,(S)-3-Hydroxy-3-methylglutaryl-CoA
Biosynthesis of plant hormones,Zeatin
Biosynthesis of plant hormones,Stearoyl-CoA
Biosynthesis of plant hormones,cis-Aconitate
Biosynthesis of plant hormones,(R)-Mevalonate
Biosynthesis of plant hormones,trans-Cinnamate
Biosynthesis of plant hormones,"trans,trans-Farnesyl diphosphate"
Biosynthesis of plant hormones,Shikimate
Biosynthesis of plant hormones,alpha-D-Glucose 6-phosphate
Biosynthesis of plant hormones,Squalene
Biosynthesis of plant hormones,Salicylate
Biosynthesis of plant hormones,Gibberellin A1
Biosynthesis of plant hormones,Isochorismate
Biosynthesis of plant hormones,Indole-3-acetate
Biosynthesis of plant hormones,"(S)-2,3-Epoxysqualene"
Biosynthesis of plant hormones,1-Aminocyclopropane-1-carboxylate
Biosynthesis of plant hormones,Campesterol
Biosynthesis of plant hormones,Cycloartenol
Biosynthesis of plant hormones,beta-Carotene
Biosynthesis of plant hormones,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate
Biosynthesis of plant hormones,"(9S,13S,15Z)-12-Oxo-10,11-dihydrophyto-15-enoate"
Biosynthesis of plant hormones,all-trans-Phytoene
Biosynthesis of plant hormones,Lycopene
Biosynthesis of plant hormones,Abscisate
Biosynthesis of plant hormones,ent-Copalyl diphosphate
Biosynthesis of plant hormones,ent-Kaurene
Biosynthesis of plant hormones,Gibberellin A12 aldehyde
Biosynthesis of plant hormones,Zeaxanthin
Biosynthesis of plant hormones,"(9Z,12Z,15Z)-Octadecatrienoic acid"
Biosynthesis of plant hormones,Ethylene
Biosynthesis of plant hormones,(-)-Jasmonic acid
Biosynthesis of plant hormones,Brassinolide
Biosynthesis of plant hormones,Strigol
Biosynthesis of plant hormones,2-C-Methyl-D-erythritol 4-phosphate
Biosynthesis of plant hormones,1-Deoxy-D-xylulose 5-phosphate
Biosynthesis of plant hormones,cis-Zeatin
Metabolic pathways,H2O
Metabolic pathways,ATP
Metabolic pathways,NAD+
Metabolic pathways,NADH
Metabolic pathways,NADPH
Metabolic pathways,NADP+
Metabolic pathways,Oxygen
Metabolic pathways,ADP
Metabolic pathways,CoA
Metabolic pathways,CO2
Metabolic pathways,Peptide
Metabolic pathways,Ammonia
Metabolic pathways,UDP
Metabolic pathways,FAD
Metabolic pathways,Pyridoxal phosphate
Metabolic pathways,S-Adenosyl-L-methionine
Metabolic pathways,AMP
Metabolic pathways,S-Adenosyl-L-homocysteine
Metabolic pathways,Pyruvate
Metabolic pathways,Acetyl-CoA
Metabolic pathways,L-Glutamate
Metabolic pathways,2-Oxoglutarate
Metabolic pathways,UDP-glucose
Metabolic pathways,D-Glucose
Metabolic pathways,Heme
Metabolic pathways,Acetate
Metabolic pathways,Manganese
Metabolic pathways,GDP
Metabolic pathways,Oxaloacetate
Metabolic pathways,Glycine
Metabolic pathways,DNA
Metabolic pathways,L-Alanine
Metabolic pathways,Succinate
Metabolic pathways,UDP-N-acetyl-alpha-D-glucosamine
Metabolic pathways,GTP
Metabolic pathways,RNA
Metabolic pathways,L-Lysine
Metabolic pathways,Glyoxylate
Metabolic pathways,L-Aspartate
Metabolic pathways,Glutathione
Metabolic pathways,UDP-alpha-D-galactose
Metabolic pathways,3'-Phosphoadenylyl sulfate
Metabolic pathways,"Adenosine 3',5'-bisphosphate"
Metabolic pathways,CMP
Metabolic pathways,Formate
Metabolic pathways,Sulfate
Metabolic pathways,FMN
Metabolic pathways,L-Arginine
Metabolic pathways,CTP
Metabolic pathways,L-Glutamine
Metabolic pathways,L-Serine
Metabolic pathways,Formaldehyde
Metabolic pathways,Thiamin diphosphate
Metabolic pathways,Ascorbate
Metabolic pathways,L-Methionine
Metabolic pathways,Phosphoenolpyruvate
Metabolic pathways,UTP
Metabolic pathways,L-Ornithine
Metabolic pathways,L-Tryptophan
Metabolic pathways,L-Phenylalanine
Metabolic pathways,H+
Metabolic pathways,ITP
Metabolic pathways,L-Tyrosine
Metabolic pathways,Malonyl-CoA
Metabolic pathways,Acetaldehyde
Metabolic pathways,D-Fructose 6-phosphate
Metabolic pathways,Urea
Metabolic pathways,Sulfur
Metabolic pathways,Nitrite
Metabolic pathways,Sucrose
Metabolic pathways,Catechol
Metabolic pathways,Succinyl-CoA
Metabolic pathways,D-Glucose 6-phosphate
Metabolic pathways,sn-Glycerol 3-phosphate
Metabolic pathways,Sulfite
Metabolic pathways,D-Fructose
Metabolic pathways,GDP-mannose
Metabolic pathways,L-Cysteine
Metabolic pathways,beta-Alanine
Metabolic pathways,Propanoyl-CoA
Metabolic pathways,Tetrahydrofolate
Metabolic pathways,D-Glucose 1-phosphate
Metabolic pathways,IDP
Metabolic pathways,UMP
Metabolic pathways,Uracil
Metabolic pathways,Anthranilate
Metabolic pathways,2-Oxobutanoate
Metabolic pathways,Dolichyl phosphate
Metabolic pathways,Glycerone phosphate
Metabolic pathways,CDP
Metabolic pathways,Choline
Metabolic pathways,Glycerol
Metabolic pathways,D-Ribose 5-phosphate
Metabolic pathways,D-Glyceraldehyde 3-phosphate
Metabolic pathways,5-Phospho-alpha-D-ribose 1-diphosphate
Metabolic pathways,Biotin
Metabolic pathways,D-Ribose
Metabolic pathways,Fumarate
Metabolic pathways,L-Leucine
Metabolic pathways,D-Galactose
Metabolic pathways,Glutathione disulfide
Metabolic pathways,CMP-N-acetylneuraminate
Metabolic pathways,Isopentenyl diphosphate
Metabolic pathways,IMP
Metabolic pathways,dATP
Metabolic pathways,Methanol
Metabolic pathways,D-Alanine
Metabolic pathways,Putrescine
Metabolic pathways,L-Histidine
Metabolic pathways,Butanoyl-CoA
Metabolic pathways,myo-Inositol
Metabolic pathways,N-Acetyl-D-glucosamine
Metabolic pathways,3-Methyl-2-oxobutanoic acid
Metabolic pathways,"5,10-Methylenetetrahydrofolate"
Metabolic pathways,GMP
Metabolic pathways,Phenol
Metabolic pathways,Adenine
Metabolic pathways,L-Proline
Metabolic pathways,(S)-Malate
Metabolic pathways,L-Asparagine
Metabolic pathways,Nicotinamide
Metabolic pathways,Palmitoyl-CoA
Metabolic pathways,L-Homocysteine
Metabolic pathways,4-Hydroxybenzoate
Metabolic pathways,Phosphatidylcholine
Metabolic pathways,Citrate
Metabolic pathways,D-Mannose
Metabolic pathways,Glycolate
Metabolic pathways,Propanoate
Metabolic pathways,Acetoacetate
Metabolic pathways,Phenylpyruvate
Metabolic pathways,UDP-glucuronate
Metabolic pathways,Hydroxypyruvate
Metabolic pathways,Carbamoyl phosphate
Metabolic pathways,5'-Methylthioadenosine
Metabolic pathways,Acyl-[acyl-carrier protein]
Metabolic pathways,Thymine
Metabolic pathways,Agmatine
Metabolic pathways,Benzoate
Metabolic pathways,D-Xylose
Metabolic pathways,L-Valine
Metabolic pathways,Glycerone
Metabolic pathways,Cellobiose
Metabolic pathways,(S)-Lactate
Metabolic pathways,Cholesterol
Metabolic pathways,L-Threonine
Metabolic pathways,Ethanolamine
Metabolic pathways,UDP-D-xylose
Metabolic pathways,D-Glucuronate
Metabolic pathways,Hydroxylamine
Metabolic pathways,Cobamide coenzyme
Metabolic pathways,N-Acylsphingosine
Metabolic pathways,3-Phospho-D-glycerate
Metabolic pathways,"D-Glucono-1,5-lactone"
Metabolic pathways,D-Ribulose 5-phosphate
Metabolic pathways,UDP-N-acetyl-D-galactosamine
Metabolic pathways,2-Dehydro-3-deoxy-D-gluconate
Metabolic pathways,dADP
Metabolic pathways,Acetone
Metabolic pathways,Maltose
Metabolic pathways,Oxalate
Metabolic pathways,Adenosine
Metabolic pathways,Sarcosine
Metabolic pathways,Thymidine
Metabolic pathways,D-Arabinose
Metabolic pathways,D-Glutamate
Metabolic pathways,Methylamine
Metabolic pathways,Arachidonate
Metabolic pathways,beta-D-Glucose
Metabolic pathways,3-Oxopropanoate
Metabolic pathways,p-Coumaroyl-CoA
Metabolic pathways,Adenylyl sulfate
Metabolic pathways,Acetyl phosphate
Metabolic pathways,Acyl-carrier protein
Metabolic pathways,"3,4-Dihydroxybenzoate"
Metabolic pathways,D-Xylulose 5-phosphate
Metabolic pathways,Succinate semialdehyde
Metabolic pathways,4-Methyl-2-oxopentanoate
Metabolic pathways,10-Formyltetrahydrofolate
Metabolic pathways,Dimethylallyl diphosphate
Metabolic pathways,3-Phospho-D-glyceroyl phosphate
Metabolic pathways,CO
Metabolic pathways,dCMP
Metabolic pathways,Guanine
Metabolic pathways,Lactose
Metabolic pathways,Nitrate
Metabolic pathways,Taurine
Metabolic pathways,Butanoic acid
Metabolic pathways,L-Sorbose
Metabolic pathways,Hexadecanoic acid
Metabolic pathways,Pyridoxal
Metabolic pathways,Chorismate
Metabolic pathways,Isomaltose
Metabolic pathways,Nicotinate
Metabolic pathways,Prephenate
Metabolic pathways,Riboflavin
Metabolic pathways,(R)-Lactate
Metabolic pathways,D-Gluconic acid
Metabolic pathways,D-Glycerate
Metabolic pathways,L-Arabinose
Metabolic pathways,Benzaldehyde
Metabolic pathways,Hypoxanthine
Metabolic pathways,L-Homoserine
Metabolic pathways,Glycolaldehyde
Metabolic pathways,alpha-D-Glucose
Metabolic pathways,Dihydrobiopterin
Metabolic pathways,CDP-diacylglycerol
Metabolic pathways,N-Acetylneuraminate
Metabolic pathways,Tetrahydrobiopterin
Metabolic pathways,D-Mannose 6-phosphate
Metabolic pathways,D-Erythrose 4-phosphate
Metabolic pathways,Androstenedione
Metabolic pathways,Hydrogen sulfide
Metabolic pathways,dGTP
Metabolic pathways,HCO3-
Metabolic pathways,Inosine
Metabolic pathways,Orotate
Metabolic pathways,Quinate
Metabolic pathways,Uridine
Metabolic pathways,Creatine
Metabolic pathways,ADP-ribose
Metabolic pathways,Glutamate
Metabolic pathways,CDP-choline
Metabolic pathways,D-Ribulose
Metabolic pathways,D-Xylulose
Metabolic pathways,Isocitrate
Metabolic pathways,L-Xylulose
Metabolic pathways,Oxalyl-CoA
Metabolic pathways,Pyridoxine
Metabolic pathways,Spermidine
Metabolic pathways,Sphingosine
Metabolic pathways,Thiosulfate
Metabolic pathways,2-Oxoadipate
Metabolic pathways,Caffeoyl-CoA
Metabolic pathways,GDP-L-fucose
Metabolic pathways,L-Citrulline
Metabolic pathways,L-Kynurenine
Metabolic pathways,D-Glucosamine
Metabolic pathways,Deoxyguanosine
Metabolic pathways,Indolepyruvate
Metabolic pathways,Acetoacetyl-CoA
Metabolic pathways,D-Galacturonate
Metabolic pathways,4-Aminobutanoate
Metabolic pathways,(S)-Dihydroorotate
Metabolic pathways,Lipopolysaccharide
Metabolic pathways,Geranyl diphosphate
Metabolic pathways,Phosphatidylglycerol
Metabolic pathways,6-Phospho-D-gluconate
Metabolic pathways,Ethanolamine phosphate
Metabolic pathways,Phosphatidylethanolamine
Metabolic pathways,D-Glucosamine 6-phosphate
Metabolic pathways,Geranylgeranyl diphosphate
Metabolic pathways,"D-Fructose 1,6-bisphosphate"
Metabolic pathways,"3,4-Dihydroxy-L-phenylalanine"
Metabolic pathways,(S)-3-Hydroxy-3-methylglutaryl-CoA
Metabolic pathways,N-Acetyl-D-glucosamine 6-phosphate
Metabolic pathways,dAMP
Metabolic pathways,dGDP
Metabolic pathways,dGMP
Metabolic pathways,dTDP
Metabolic pathways,dTMP
Metabolic pathways,dUMP
Metabolic pathways,Urate
Metabolic pathways,Starch
Metabolic pathways,Zeatin
Metabolic pathways,Dextran
Metabolic pathways,Retinal
Metabolic pathways,Thiamine
Metabolic pathways,Xylitol
Metabolic pathways,Cytosine
Metabolic pathways,Dolichol
Metabolic pathways,Malonate
Metabolic pathways,Xanthine
Metabolic pathways,Carnosine
Metabolic pathways,Guanosine
Metabolic pathways,Histamine
Metabolic pathways,Quercetin
Metabolic pathways,Ubiquinol
Metabolic pathways,Mannitol
Metabolic pathways,GDP-glucose
Metabolic pathways,Penicillin
Metabolic pathways,Tryptamine
Metabolic pathways,Ubiquinone
Metabolic pathways,Chondroitin
Metabolic pathways,D-Aspartate
Metabolic pathways,Feruloyl-CoA
Metabolic pathways,L-Isoleucine
Metabolic pathways,L-Pipecolate
Metabolic pathways,Methanethiol
Metabolic pathways,Progesterone
Metabolic pathways,Sinapoyl-CoA
Metabolic pathways,Streptomycin
Metabolic pathways,Dihydrofolate
Metabolic pathways,Phosphatidate
Metabolic pathways,cis-Aconitate
Metabolic pathways,(R)-Mevalonate
Metabolic pathways,Triacylglycerol
Metabolic pathways,trans-Cinnamate
Metabolic pathways,(S)-Lactaldehyde
Metabolic pathways,Dermatan sulfate
Metabolic pathways,Prostaglandin H2
Metabolic pathways,"5,6-Dihydrouracil"
Metabolic pathways,5-Aminolevulinate
Metabolic pathways,5-Aminopentanoate
Metabolic pathways,"2,5-Dioxopentanoate"
Metabolic pathways,N-Carbamoylputrescine
Metabolic pathways,N-Acetylornithine
Metabolic pathways,N-Carbamoyl-L-aspartate
Metabolic pathways,N-Formimino-L-glutamate
Metabolic pathways,5-Methyltetrahydrofolate
Metabolic pathways,L-Aspartate 4-semialdehyde
Metabolic pathways,"5,10-Methenyltetrahydrofolate"
Metabolic pathways,alpha-D-Galactose 1-phosphate
Metabolic pathways,"Sedoheptulose 1,7-bisphosphate"
Metabolic pathways,"trans,trans-Farnesyl diphosphate"
Metabolic pathways,"N6-(L-1,3-Dicarboxypropyl)-L-lysine"
Metabolic pathways,"(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate"
Metabolic pathways,Nicotinamide D-ribonucleotide
